Код,Быстрый выбор,Наименование,Заб.,Акт.,Вал.,Кол.,Подр.,НУ
90.02.1,90021,Себестоимость продаж по деятельности с основной системой налогообложения,Нет ,А,Нет ,Нет ,Нет ,Да 
90.02.2,90022,Себестоимость продаж по отдельным видам деятельности с особым порядком налогообложения,Нет ,А,Нет ,Нет ,Нет ,Да 
90.03,9003,Налог на добавленную стоимость,Нет ,А,Нет ,Нет ,Нет ,Нет 
90.04,9004,Акцизы,Нет ,А,Нет ,Нет ,Нет ,Нет 
90.05,9005,Экспортные пошлины,Нет ,А,Нет ,Нет ,Нет ,Нет 
90.07,9007,Расходы на продажу,Нет ,А,Нет ,Нет ,Нет ,Да 
90.07.1,90071,Расходы на продажу по деятельности с основной системой налогообложения,Нет ,А,Нет ,Нет ,Нет ,Да 
90.07.2,90072,Расходы на продажу по отдельным видам деятельности с особым порядком налогообложения,Нет ,А,Нет ,Нет ,Нет ,Да 
90.08,9008,Управленческие расходы,Нет ,А,Нет ,Нет ,Нет ,Да 
90.08.1,90081,Управленческие расходы по деятельности с основной системой налогообложения,Нет ,А,Нет ,Нет ,Нет ,Да 
90.08.2,90082,Управленческие расходы по отдельным видам деятельности с особым порядком налогообложения,Нет ,А,Нет ,Нет ,Нет ,Да 
90.09,9009,Прибыль / убыток от продаж,Нет ,АП,Нет ,Нет ,Нет ,Да 
91,91,Прочие доходы и расходы,Нет ,АП,Нет ,Нет ,Нет ,Да 
91.01,9101,Прочие доходы,Нет ,П,Нет ,Да ,Нет ,Да 
91.02,9102,Прочие расходы,Нет ,А,Нет ,Нет ,Нет ,Да 
91.09,9109,Сальдо прочих доходов и расходов,Нет ,АП,Нет ,Нет ,Нет ,Да 
94,94,Недостачи и потери от порчи ценностей,Нет ,А,Нет ,Нет ,Нет ,Да 
96,96,Резервы предстоящих расходов,Нет ,АП,Нет ,Нет ,Нет ,Да 
97,97,Расходы будущих периодов,Нет ,А,Нет ,Нет ,Да ,Да 
97.01,9701,Расходы на оплату труда будущих периодов,Нет ,А,Нет ,Нет ,Да ,Да 
97.02,9702,Расходы будущих периодов на добровольное страхование работников,Нет ,А,Нет ,Нет ,Да ,Да 
97.21,9721,Прочие расходы будущих периодов,Нет ,А,Нет ,Нет ,Да ,Да 
98,98,Доходы будущих периодов,Нет ,П,Нет ,Нет ,Нет ,Да 
98.01,9801,"Доходы, полученные в счет будущих периодов",Нет ,П,Нет ,Нет ,Нет ,Да 
98.02,9802,Безвозмездные поступления,Нет ,П,Нет ,Нет ,Нет ,Да 
98.03,9803,"Предстоящие поступления по недостачам, выявленным за прошлые годы",Нет ,П,Нет ,Нет ,Нет ,Да 
98.04,9804,"Разница между суммой, подлежащей взысканию с виновных лиц, и балансовой стоимостью по недостачам ценностей",Нет ,П,Нет ,Нет ,Нет ,Да 
99,99,Прибыли и убытки,Нет ,АП,Нет ,Нет ,Нет ,Да 
99.01,9901,Прибыли и убытки от хозяйственной деятельности (за исключением налога на прибыль),Нет ,АП,Нет ,Нет ,Нет ,Да 
99.01.1,99011,Прибыли и убытки по деятельности с основной системой налогообложения,Нет ,АП,Нет ,Нет ,Нет ,Да 
99.01.2,99012,Прибыли и убытки по отдельным видам деятельности с особым порядком налогообложения,Нет ,АП,Нет ,Нет ,Нет ,Да 
99.02,9902,Налог на прибыль,Нет ,АП,Нет ,Нет ,Нет ,Нет 
99.02.1,99021,Условный расход по налогу на прибыль,Нет ,А,Нет ,Нет ,Нет ,Нет 
99.02.2,99022,Условный доход по налогу на прибыль,Нет ,П,Нет ,Нет ,Нет ,Нет 
99.02.3,99023,Постоянное налоговое обязательство,Нет ,А,Нет ,Нет ,Нет ,Нет 
99.02.4,99024,Пересчет отложенных налоговых активов и обязательств,Нет ,АП,Нет ,Нет ,Нет ,Нет 
99.09,9909,Прочие прибыли и убытки,Нет ,АП,Нет ,Нет ,Нет ,Нет 
000,000,Вспомогательный счет,Нет ,АП,Нет ,Нет ,Нет ,Нет 
001,001,Арендованные основные средства,Да ,А,Нет ,Нет ,Нет ,Нет 
002,002,"Товарно-материальные ценности, принятые на ответственное хранение",Да ,А,Нет ,Да ,Нет ,Нет 
003,003,"Материалы, принятые в переработку",Да ,А,Нет ,Да ,Нет ,Нет 
003.01,00301,Материалы на складе,Да ,А,Нет ,Да ,Нет ,Нет 
003.02,00302,"Материалы, переданные в производство",Да ,А,Нет ,Да ,Нет ,Нет 
004,004,"Товары, принятые на комиссию",Да ,А,Нет ,Да ,Нет ,Да 
004.01,00401,Товары на складе,Да ,А,Нет ,Да ,Нет ,Да 
004.02,00402,"Товары, переданные на комиссию",Да ,А,Нет ,Да ,Нет ,Да 
004.К,004К,Корректировка комиссионных товаров прошлого периода,Да ,А,Нет ,Да ,Нет ,Да 
005,005,"Оборудование, принятое для монтажа",Да ,А,Нет ,Да ,Нет ,Нет 
006,006,Бланки строгой отчетности,Да ,А,Нет ,Да ,Нет ,Нет 
007,007,Списанная в убыток задолженность неплатежеспособных дебиторов,Да ,А,Нет ,Нет ,Нет ,Нет 
008,008,Обеспечения обязательств и платежей полученные,Да ,А,Нет ,Нет ,Нет ,Нет 
009,009,Обеспечения обязательств и платежей выданные,Да ,А,Нет ,Нет ,Нет ,Нет 
010,010,Износ основных средств,Да ,А,Нет ,Нет ,Нет ,Нет 
011,011,"Основные средства, сданные в аренду",Да ,А,Нет ,Нет ,Нет ,Нет 
ГТД,ГТД,Учет импортных товаров по номерам ГТД,Да ,А,Нет ,Да ,Нет ,Нет 
КВ,КВ,Амортизационная премия,Да ,АП,Нет ,Нет ,Нет ,Да 
МЦ,МЦ,Материальные ценности в эксплуатации,Да ,А,Нет ,Нет ,Да ,Да 
МЦ.02,МЦ02,Спецодежда в эксплуатации,Да ,А,Нет ,Да ,Нет ,Да 
МЦ.03,МЦ03,Спецоснастка в эксплуатации,Да ,А,Нет ,Да ,Да ,Да 
МЦ.04,МЦ04,Инвентарь и хозяйственные принадлежности в эксплуатации,Да ,А,Нет ,Да ,Нет ,Нет 
НЕ,НЕ,"Доходы и расходы, не учитываемые в целях налогообложения",Да ,АП,Нет ,Нет ,Нет ,Да 
НЕ.01,НЕ01,"Расходы, которые не учтены на основании пунктов 1 - 48 статьи 270 НК",Да ,АП,Нет ,Нет ,Нет ,Да 
НЕ.01.1,НЕ011,Выплаты в пользу физических лиц,Да ,АП,Нет ,Нет ,Нет ,Да 
НЕ.01.9,НЕ019,Другие выплаты,Да ,АП,Нет ,Нет ,Нет ,Да 
НЕ.02,НЕ02,"Расходы, которые не учтены на основании пункта 49 статьи 270 НК",Да ,АП,Нет ,Нет ,Нет ,Да 
НЕ.02.1,НЕ021,Выплаты в пользу физических лиц,Да ,АП,Нет ,Нет ,Нет ,Да 
НЕ.02.9,НЕ029,Другие выплаты,Да ,АП,Нет ,Нет ,Нет ,Да 
НЕ.03,НЕ03,"Внереализационные расходы, не учитываемые в целях налогообложения",Да ,АП,Нет ,Нет ,Нет ,Да 
НЕ.04,НЕ04,"Доходы, не учитываемые в целях налогообложения",Да ,АП,Нет ,Нет ,Нет ,Да 
РВ,РВ,Розничная выручка,Да ,А,Нет ,Нет ,Нет ,Нет 
РВ.1,РВ1,Нераспределенная розничная выручка (без НДС),Да ,А,Нет ,Нет ,Нет ,Нет 
РВ.2,РВ2,НДС в нераспределенной розничной выручке,Да ,А,Нет ,Нет ,Нет ,Нет 
УСН,УСН,Вспомогательные счета по упрощенной системе налогообложения,Да ,АП,Нет ,Нет ,Нет ,Нет 
УСН.01,УСН01,Расчеты с покупателями по деятельности ЕНВД,Да ,А,Нет ,Нет ,Нет ,Нет 
УСН.02,УСН02,Расчеты с покупателями за товары комитента,Да ,А,Нет ,Нет ,Нет ,Нет 
УСН.03,УСН03,Расчеты с покупателями по деятельности на патенте,Да ,А,Нет ,Нет ,Нет ,Нет 
УСН.21,УСН21,Расчеты с покупателями в валюте по деятельности ЕНВД,Да ,А,Да ,Нет ,Нет ,Нет 
УСН.22,УСН22,Расчеты с покупателями в валюте за товары комитента,Да ,А,Да ,Нет ,Нет ,Нет 
УСН.23,УСН23,Расчеты с покупателями в валюте по деятельности на патенте,Да ,А,Да ,Нет ,Нет ,Нет 
Я96,Я96,не используется,Нет ,П,Нет ,Нет ,Да ,Да 
Я96.01,Я9601,не используется,Нет ,П,Нет ,Нет ,Да ,Да 
