Код,Быстрый выбор,Наименование,Заб.,Акт.,Вал.,Кол.,Подр.,НУ
10.06,1006,Прочие материалы,Нет ,А,Нет ,Да ,Нет ,Да 
10.07,1007,"Материалы, переданные в переработку на сторону",Нет ,А,Нет ,Да ,Нет ,Да 
10.08,1008,Строительные материалы,Нет ,А,Нет ,Да ,Нет ,Да 
10.09,1009,Инвентарь и хозяйственные принадлежности,Нет ,А,Нет ,Да ,Нет ,Да 
10.10,1010,Специальная оснастка и специальная одежда на складе,Нет ,А,Нет ,Да ,Нет ,Да 
10.11,1011,Специальная оснастка и специальная одежда в эксплуатации,Нет ,А,Нет ,Да ,Да ,Да 
10.11.1,10111,Специальная одежда в эксплуатации,Нет ,А,Нет ,Да ,Нет ,Да 
10.11.2,10112,Специальная оснастка в эксплуатации,Нет ,А,Нет ,Да ,Да ,Да 
11,11,Животные на выращивании и откорме,Нет ,А,Нет ,Да ,Нет ,Нет 
14,14,Резервы под снижение стоимости материальных ценностей,Нет ,АП,Нет ,Нет ,Нет ,Нет 
14.01,1401,Резервы под снижение стоимости материалов,Нет ,АП,Нет ,Нет ,Нет ,Нет 
14.02,1402,Резервы под снижение стоимости товаров,Нет ,АП,Нет ,Нет ,Нет ,Нет 
14.03,1403,Резервы под снижение стоимости готовой продукции,Нет ,АП,Нет ,Нет ,Нет ,Нет 
14.04,1404,Резервы под снижение стоимости незавершенного производства,Нет ,АП,Нет ,Нет ,Нет ,Нет 
15,15,Заготовление и приобретение материальных ценностей,Нет ,АП,Нет ,Нет ,Нет ,Нет 
15.01,1501,Заготовление и приобретение материалов,Нет ,АП,Нет ,Нет ,Нет ,Нет 
15.02,1502,Приобретение товаров,Нет ,АП,Нет ,Нет ,Нет ,Нет 
16,16,Отклонение в стоимости материальных ценностей,Нет ,АП,Нет ,Нет ,Нет ,Нет 
16.01,1601,Отклонение в стоимости материалов,Нет ,АП,Нет ,Нет ,Нет ,Нет 
16.02,1602,Отклонение в стоимости товаров,Нет ,АП,Нет ,Нет ,Нет ,Нет 
19,19,НДС по приобретенным ценностям,Нет ,А,Нет ,Нет ,Нет ,Нет 
19.01,1901,НДС при приобретении основных средств,Нет ,А,Нет ,Нет ,Нет ,Нет 
19.02,1902,НДС по приобретенным нематериальным активам,Нет ,А,Нет ,Нет ,Нет ,Нет 
19.03,1903,НДС по приобретенным материально-производственным запасам,Нет ,А,Нет ,Нет ,Нет ,Нет 
19.04,1904,НДС по приобретенным услугам,Нет ,А,Нет ,Нет ,Нет ,Нет 
19.05,1905,"НДС, уплаченный при ввозе товаров на территорию Российской Федерации",Нет ,А,Нет ,Нет ,Нет ,Нет 
19.06,1906,Акцизы по оплаченным материальным ценностям,Нет ,А,Нет ,Нет ,Нет ,Нет 
19.07,1907,"НДС по товарам, реализованным по ставке 0% (экспорт)",Нет ,А,Нет ,Нет ,Нет ,Нет 
19.08,1908,НДС при строительстве основных средств,Нет ,А,Нет ,Нет ,Нет ,Нет 
19.09,1909,НДС по уменьшению стоимости реализации,Нет ,А,Нет ,Нет ,Нет ,Нет 
20,20,Основное производство,Нет ,А,Нет ,Нет ,Да ,Да 
20.01,2001,Основное производство,Нет ,А,Нет ,Нет ,Да ,Да 
20.02,2002,Производство продукции из давальческого сырья,Нет ,А,Нет ,Да ,Нет ,Да 
21,21,Полуфабрикаты собственного производства,Нет ,А,Нет ,Да ,Нет ,Да 
23,23,Вспомогательные производства,Нет ,А,Нет ,Нет ,Да ,Да 
25,25,Общепроизводственные расходы,Нет ,А,Нет ,Нет ,Да ,Да 
26,26,Общехозяйственные расходы,Нет ,А,Нет ,Нет ,Да ,Да 
28,28,Брак в производстве,Нет ,А,Нет ,Нет ,Да ,Да 
29,29,Обслуживающие производства и хозяйства,Нет ,А,Нет ,Нет ,Да ,Да 
40,40,"Выпуск продукции (работ, услуг)",Нет ,АП,Нет ,Нет ,Нет ,Да 
41,41,Товары,Нет ,А,Нет ,Да ,Нет ,Да 
41.01,4101,Товары на складах,Нет ,А,Нет ,Да ,Нет ,Да 
41.02,4102,Товары в розничной торговле (по покупной стоимости),Нет ,А,Нет ,Да ,Нет ,Да 
41.03,4103,Тара под товаром и порожняя,Нет ,А,Нет ,Да ,Нет ,Да 
41.04,4104,Покупные изделия,Нет ,А,Нет ,Да ,Нет ,Да 
41.11,4111,Товары в розничной торговле (в АТТ по продажной стоимости),Нет ,А,Нет ,Да ,Нет ,Да 
41.12,4112,Товары в розничной торговле (в НТТ по продажной стоимости),Нет ,А,Нет ,Нет ,Нет ,Да 
41.К,41К,Корректировка товаров прошлого периода,Нет ,А,Нет ,Да ,Нет ,Да 
